,Ad_ID,Ad_Link,datetime
206,6564298,/nepremicnine/lokacija-stanovanja-siska-67.00-m2-oglas-6564298,02.05.2021_11:29:13
207,2439671,/nepremicnine/stanovanje-gorenjska-bohinjska-bistrica-center-3-sobno-70.00-m-oglas-2439671,02.05.2021_11:29:13
208,2980258,/nepremicnine/lokacija-stanovanja-sentjur-56.00-m2-oglas-2980258,02.05.2021_11:29:13
209,6939266,/nepremicnine/lokacija-stanovanja-mozirje-124.00-m2-oglas-6939266,02.05.2021_11:29:13
210,6496561,/nepremicnine/lokacija-stanovanja-melje-150.00-m2-oglas-6496561,02.05.2021_11:29:13
211,6756379,/nepremicnine/ob-mestnem-parku-prodamo-1-sobno-stanovanje-v-polkleti-mescanske-vile-oglas-6756379,02.05.2021_11:29:13
212,6938640,/nepremicnine/lokacija-stanovanja-center-105.00-m2-oglas-6938640,02.05.2021_11:29:13
213,6938594,/nepremicnine/stanovanje-celje-center-66-m2-oglas-6938594,02.05.2021_11:29:13
214,6936754,/nepremicnine/ljubljana-siska-stanovanje-2.5-sobno-prodaja-oglas-6936754,02.05.2021_11:29:13
215,6936669,/nepremicnine/lovran-luksuzna-novogradnja-3s-db-oglas-6936669,02.05.2021_11:29:13
216,6936668,/nepremicnine/a6-10-oglas-6936668,02.05.2021_11:29:13
217,6936667,/nepremicnine/prekrasan-stan-mirnoj-ulici-opatiji-pripadajucom-garazom-20-oglas-6936667,02.05.2021_11:29:13
218,6936605,/nepremicnine/dupleks-stanovanje-oglas-6936605,02.05.2021_11:29:13
219,6537455,/nepremicnine/lokacija-stanovanja-podlehnik-84.50-m2-oglas-6537455,02.05.2021_11:29:13
220,6936442,/nepremicnine/prodaja-stanovanje-1-sobno-krimska-ulica-center-36.3-m2-oglas-6936442,02.05.2021_11:29:13
221,6936431,/nepremicnine/prodaja-stanovanje-2-sobno-dolenjska-cesta-rudnik-78.2-m2-oglas-6936431,02.05.2021_11:29:13
222,6520120,/nepremicnine/lokacija-stanovanja-vas-78.00-m2-oglas-6520120,02.05.2021_11:29:13
223,6935457,/nepremicnine/1.5-sobno-stanovanje-koroska-vrata-44.00-m2-oglas-6935457,02.05.2021_11:29:13
224,6934598,/nepremicnine/lokacija-stanovanja-vas-oglas-6934598,02.05.2021_11:29:13
225,1454556,/nepremicnine/stanovanje-maribor-center-znizana-cena-oglas-1454556,02.05.2021_11:29:14
226,6933534,/nepremicnine/lokacija-stanovanja-moste-44.00-m2-oglas-6933534,02.05.2021_11:29:14
