,Šifra oglasa,Objavljen ,Do poteka še,Število prikazov oglasa,Cena,Vrsta cene,Posredovanje,Lokacija,Umeščenost stanovanja,Nadstropje,Skupno število nadstropij v stavbi,Vrsta stanovanja,Bivalna površina,Neto površina,Leto izgradnje*,Leto zadnje prenove,Opremljenost in stanje,Energetski razred,Možnost menjave,Število parkirnih mest,Balkon / terasa / atrij,Zunanje površine in oprema,Interna številka oglasa
627,6301824,14.02.2021dne22:26,"
2dni,1h,59min.
",1166-krat,"

98.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,1.,2,2-sobno,"54,40 m²","61,70 m²",2008,,Popolnoma opremljeno,C (35 - 60 kWh/m2a),,,Balkon,,
628,1466741,14.02.2021dne15:42,"
1dan,19h,14min.
",847-krat,"

189.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Istrska, Novigrad",V večstanovanjski stavbi,Pritličje,3,2-sobno,"58,00 m²",,2007,2019,Popolnoma opremljeno,,,1,"Zaprt balkon, Terasa","Vrt/dvorišče, Žar",
629,2344000,14.02.2021dne14:28,"
1dan,18h,0min.
",1981-krat,"

115.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Istrska, Medulin",V večstanovanjski stavbi,1.,,3-sobno,"53,00 m²",,2012,,,,,,Terasa,,
630,6009887,14.02.2021dne11:20,"
12dni,12h,51min.
",2724-krat,"

75.000 €
",Skupna cena,Prodam,"Podravska, Sv. Ana v Slovenskih goricah, Lokavec",V večstanovanjski stavbi,Pritličje,3,"3,5-sobno","60,00 m²","90,00 m²",1965,2018,Delno opremljeno,E (151 do 200 kWh/m2a) - HR,Menjava za drugo nepremičnino ni možna,2,Balkon,Vrt/dvorišče,
631,6298222,14.02.2021dne10:47,"
1dan,14h,19min.
",382-krat,"

133.000 €
",Skupna cena,Prodam,"Obalno-kraška, Sežana, Sežana",V večstanovanjski stavbi,Pritličje,4,3-sobno,"82,00 m²","82,00 m²",1968,2015,,,,,,Vrt/dvorišče,
632,1448931,14.02.2021dne10:10,"
1dan,13h,42min.
",900-krat,"

130.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Mali Lošinj",V večstanovanjski stavbi,2.,,Garsonjera,"100,00 m²",,1960,,,D (101 do 150 kWh/m2a) - HR,,,Terasa,,
633,1453239,14.02.2021dne00:29,"
1dan,4h,2min.
",761-krat,"
podogovoru",Cena na m²,Prodam,"Savinjska, Žalec, Žalec",V večstanovanjski stavbi,5.,,1-sobno,"44,00 m²",,2019,,,,,,Balkon,,
634,6292230,13.02.2021dne20:34,"
1dan,0h,7min.
",541-krat,"

95.000 €
",Skupna cena,Prodam,"Gorenjska, Jesenice, Blejska Dobrava",V hiši,1.,1,5-sobno,"96,20 m²",,1966,2015,Neopremljeno,EI v izdelavi,Možna menjava za drugo nepremičnino,3,,"Vrt/dvorišče, Vrtna uta",
635,6290949,13.02.2021dne16:19,"
0dni,19h,52min.
",4266-krat,"

330.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Bežigrad, Črnuška gmajna",V večstanovanjski stavbi,Visoko pritličje,3,3-sobno,"95,00 m²","148,00 m²",2005,2018,Popolnoma opremljeno,C (35 - 60 kWh/m2a),Menjava za drugo nepremičnino ni možna,2,"Balkon, Zaprt balkon, Terasa",Zimski vrt,
636,3780477,13.02.2021dne07:16,"
0dni,10h,49min.
",4581-krat,"

1.290 €
",Cena na m²,Prodam,"Podravska, Ptuj, Ptuj",V večstanovanjski stavbi,2.,2,3-sobno,"75,00 m²","75,00 m²",2020,2020,Delno opremljeno,,,2,"Balkon, Zaprt balkon, Terasa",,
